block_num,builder_id,total_gas_fee,total_mev,included_txs
735,builder_13,112716011,17872520,
736,builder_11,10648000,63000,
737,builder_13,329232994,340600,
738,builder_13,65300006,322000,
739,builder_13,68168010,1347480,
740,builder_11,4200002,31700,
741,builder_13,13604000,177700,
742,builder_13,26520005,0,
743,builder_13,37199996,10700,
744,builder_13,162147000,227900,
745,builder_11,283340009,4926530,
746,builder_13,433240006,5074300,
747,builder_13,55846999,571000,
748,builder_13,253038003,998600,
749,builder_11,27249002,4325630,
750,builder_13,391940002,5598140,
751,builder_13,164000,0,
752,builder_13,422380999,1260130,
753,builder_13,127699002,39400,
754,builder_11,150753020,17892220,
755,builder_13,112716011,17872520,
756,builder_11,10648000,63000,
757,builder_13,329232994,340600,
758,builder_13,65300006,322000,
759,builder_13,68168010,1347480,
760,builder_11,4200002,31700,
761,builder_13,13604000,177700,
762,builder_13,26520005,0,
763,builder_13,37199996,10700,
764,builder_13,162147000,227900,
765,builder_11,283340009,4926530,
766,builder_13,433240006,5074300,
767,builder_13,55846999,571000,
768,builder_13,253038003,998600,
769,builder_11,27249002,4325630,
770,builder_13,391940002,5598140,
771,builder_13,164000,0,
772,builder_13,422380999,1260130,
773,builder_13,127699002,39400,
774,builder_11,150753020,17892220,
775,builder_13,112716011,17872520,
776,builder_11,10648000,63000,
777,builder_13,329232994,340600,
778,builder_13,65300006,322000,
779,builder_13,68168010,1347480,
780,builder_11,3500000,285000,
781,,0,0,
782,builder_13,71905995,362500,
783,builder_13,51835997,413000,
784,builder_13,37462991,73100,
785,builder_13,119489005,700990,
786,builder_13,3899999,0,
787,builder_11,151500010,5765790,
788,builder_11,18023997,186700,
789,builder_13,185100007,5882400,
790,builder_13,27341999,53600,
791,builder_13,27374998,0,
792,builder_13,298660002,575100,
793,builder_13,3163998,0,
794,builder_13,87330000,2468400,
795,builder_13,9720000,56200,
796,builder_13,158570006,850200,
797,builder_13,14599001,15100,
798,builder_13,37740005,21800,
799,builder_13,715299993,1554580,
800,builder_11,3500000,285000,
801,,0,0,
802,builder_13,71905995,362500,
803,builder_13,51835997,413000,
804,builder_13,37462991,73100,
805,builder_13,119489005,700990,
806,builder_13,3899999,0,
807,builder_11,151500010,5765790,
808,builder_11,18023997,186700,
809,builder_13,185100007,5882400,
810,builder_13,27341999,53600,
811,builder_13,27374998,0,
812,builder_13,298660002,575100,
813,builder_13,3163998,0,
814,builder_13,87330000,2468400,
815,builder_13,9720000,56200,
816,builder_13,158570006,850200,
817,builder_13,14599001,15100,
818,builder_13,37740005,21800,
819,builder_13,715299993,1554580,
820,builder_11,3500000,285000,
821,,0,0,
822,builder_13,71905995,362500,
823,builder_13,51835997,413000,
824,builder_13,37462991,73100,
825,builder_13,119489005,700990,
826,builder_13,3899999,0,
827,builder_11,151500010,5765790,
828,builder_11,18023997,186700,
829,builder_13,185100007,5882400,
830,builder_13,27341999,53600,
831,builder_13,27374998,0,
832,builder_13,298660002,575100,
833,builder_13,3163998,0,
834,builder_13,87330000,2468400,
835,builder_13,9720000,56200,
836,builder_13,158570006,850200,
837,builder_13,14599001,15100,
838,builder_13,37740005,21800,
839,builder_13,715299993,1554580,
840,builder_11,3500000,285000,
841,,0,0,
842,builder_13,71905995,362500,
843,builder_13,51835997,413000,
844,builder_13,37462991,73100,
845,builder_13,119489005,700990,
846,builder_13,3899999,0,
847,builder_11,151500010,5765790,
848,builder_11,18023997,186700,
849,builder_13,185100007,5882400,
850,builder_13,27341999,53600,
851,builder_13,27374998,0,
852,builder_13,298660002,575100,
853,builder_13,3163998,0,
854,builder_13,87330000,2468400,
855,builder_13,9720000,56200,
856,builder_13,158570006,850200,
857,builder_13,14599001,15100,
858,builder_13,37740005,21800,
859,builder_13,715299993,1554580,
860,builder_11,3500000,285000,
861,,0,0,
862,builder_13,71905995,362500,
863,builder_13,51835997,413000,
864,builder_13,37462991,73100,
865,builder_13,119489005,700990,
866,builder_13,3899999,0,
867,builder_11,151500010,5765790,
868,builder_11,18023997,186700,
869,builder_13,185100007,5882400,
870,builder_13,27341999,53600,
871,builder_13,27374998,0,
872,builder_13,298660002,575100,
873,builder_13,3163998,0,
874,builder_13,87330000,2468400,
875,builder_13,9720000,56200,
876,builder_13,158570006,850200,
877,builder_13,14599001,15100,
878,builder_13,37740005,21800,
879,builder_13,715299993,1554580,
880,builder_11,3500000,285000,
881,,0,0,
882,builder_13,71905995,362500,
883,builder_13,51835997,413000,
884,builder_13,37462991,73100,
885,builder_13,119489005,700990,
886,builder_13,3899999,0,
887,builder_11,151500010,5765790,
888,builder_11,18023997,186700,
889,builder_13,185100007,5882400,
890,builder_13,27341999,53600,
891,builder_13,27374998,0,
892,builder_13,298660002,575100,
893,builder_13,3163998,0,
894,builder_13,87330000,2468400,
895,builder_13,9720000,56200,
896,builder_13,158570006,850200,
897,builder_13,14599001,15100,
898,builder_13,37740005,21800,
899,builder_13,715299993,1554580,
900,builder_11,3500000,285000,
901,,0,0,
902,builder_13,71905995,362500,
903,builder_13,51835997,413000,
904,builder_13,37462991,73100,
905,builder_13,119489005,700990,
906,builder_13,3899999,0,
907,builder_11,151500010,5765790,
908,builder_11,18023997,186700,
909,builder_13,185100007,5882400,
910,builder_13,27341999,53600,
911,builder_13,27374998,0,
912,builder_13,298660002,575100,
913,builder_13,3163998,0,
914,builder_13,87330000,2468400,
915,builder_13,9720000,56200,
916,builder_13,158570006,850200,
917,builder_13,14599001,15100,
918,builder_13,37740005,21800,
919,builder_13,715299993,1554580,
920,builder_11,3500000,285000,
921,,0,0,
922,builder_13,71905995,362500,
923,builder_13,51835997,413000,
924,builder_13,37462991,73100,
