transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,builder_type
50842,0,0,0,151,50541,unknown,21,5,attack
50843,0,0,0,151,50541,unknown,21,5,attack
50845,0,0,0,155,50541,unknown,21,5,attack
50846,0,0,0,155,50541,unknown,21,5,attack
50848,0,0,0,157,50541,unknown,21,5,attack
50849,0,0,0,157,50541,unknown,21,5,attack
50851,0,0,0,158,50541,unknown,21,6,attack
50852,0,0,0,158,50541,unknown,21,6,attack
50854,0,0,0,157,50541,unknown,21,6,attack
50855,0,0,0,157,50541,unknown,21,6,attack
50857,0,0,0,154,50541,unknown,22,6,attack
50858,0,0,0,154,50541,unknown,22,6,attack
50860,0,0,0,152,50541,unknown,22,6,attack
50861,0,0,0,152,50541,unknown,22,6,attack
50863,0,0,0,154,50541,unknown,22,6,attack
50864,0,0,0,154,50541,unknown,22,6,attack
50866,0,0,0,155,50541,unknown,22,6,attack
50867,0,0,0,155,50541,unknown,22,6,attack
50869,0,0,0,155,50541,unknown,22,6,attack
50870,0,0,0,155,50541,unknown,22,6,attack
50872,0,0,0,160,50541,unknown,23,6,attack
50873,0,0,0,160,50541,unknown,23,6,attack
50875,0,0,0,155,50541,unknown,23,6,attack
50876,0,0,0,155,50541,unknown,23,6,attack
50878,0,0,0,156,50541,unknown,23,6,attack
50879,0,0,0,156,50541,unknown,23,6,attack
50881,0,0,0,152,50541,unknown,23,6,attack
50882,0,0,0,152,50541,unknown,23,6,attack
50884,0,0,0,159,50541,unknown,23,6,attack
50885,0,0,0,159,50541,unknown,23,6,attack
50887,0,0,0,155,50541,unknown,24,6,attack
50888,0,0,0,155,50541,unknown,24,6,attack
50890,0,0,0,152,50541,unknown,24,6,attack
50891,0,0,0,152,50541,unknown,24,6,attack
50893,0,0,0,159,50541,unknown,24,6,attack
50894,0,0,0,159,50541,unknown,24,6,attack
50896,0,0,0,160,50541,unknown,24,6,attack
50897,0,0,0,160,50541,unknown,24,6,attack
50899,0,0,0,155,50541,unknown,24,6,attack
50900,0,0,0,155,50541,unknown,24,6,attack
50902,0,0,0,152,50541,unknown,25,6,attack
50903,0,0,0,152,50541,unknown,25,6,attack
50905,0,0,0,153,50541,unknown,25,6,attack
50906,0,0,0,153,50541,unknown,25,6,attack
50908,0,0,0,158,50541,unknown,25,6,attack
50909,0,0,0,158,50541,unknown,25,6,attack
50911,0,0,0,151,50541,unknown,25,6,attack
50912,0,0,0,151,50541,unknown,25,6,attack
50914,0,0,0,155,50541,unknown,25,6,attack
50915,0,0,0,155,50541,unknown,25,6,attack
50917,0,0,0,157,50541,unknown,26,6,attack
50918,0,0,0,157,50541,unknown,26,6,attack
50920,0,0,0,151,50541,unknown,26,6,attack
50921,0,0,0,151,50541,unknown,26,6,attack
50923,0,0,0,160,50541,unknown,26,7,attack
50924,0,0,0,160,50541,unknown,26,7,attack
50926,0,0,0,156,50541,unknown,26,7,attack
50927,0,0,0,156,50541,unknown,26,7,attack
50929,0,0,0,158,50541,unknown,26,7,attack
50930,0,0,0,158,50541,unknown,26,7,attack
50932,0,0,0,154,50541,unknown,27,7,attack
50933,0,0,0,154,50541,unknown,27,7,attack
50935,0,0,0,152,50541,unknown,27,7,attack
50936,0,0,0,152,50541,unknown,27,7,attack
50938,0,0,0,157,50541,unknown,27,7,attack
50939,0,0,0,157,50541,unknown,27,7,attack
50941,0,0,0,158,50541,unknown,27,7,attack
50942,0,0,0,158,50541,unknown,27,7,attack
50944,0,0,0,158,50541,unknown,27,7,attack
50945,0,0,0,158,50541,unknown,27,7,attack
50947,0,0,0,160,50541,unknown,28,7,attack
50948,0,0,0,160,50541,unknown,28,7,attack
50950,0,0,0,154,50541,unknown,28,7,attack
50951,0,0,0,154,50541,unknown,28,7,attack
50953,0,0,0,155,50541,unknown,28,7,attack
50954,0,0,0,155,50541,unknown,28,7,attack
50956,0,0,0,160,50541,unknown,28,7,attack
50957,0,0,0,160,50541,unknown,28,7,attack
50959,0,0,0,156,50541,unknown,28,7,attack
50960,0,0,0,156,50541,unknown,28,7,attack
50962,0,0,0,151,50541,unknown,29,7,attack
50963,0,0,0,151,50541,unknown,29,7,attack
50965,0,0,0,152,50541,unknown,29,7,attack
50966,0,0,0,152,50541,unknown,29,7,attack
50968,0,0,0,157,50541,unknown,29,7,attack
50969,0,0,0,157,50541,unknown,29,7,attack
50971,0,0,0,156,50541,unknown,29,7,attack
50972,0,0,0,156,50541,unknown,29,7,attack
