transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,validator_type
37706,0,0.0,0,118,36079.0,unknown,30,24,attack
37707,0,0.0,0,118,36079.0,unknown,30,24,attack
37709,0,0.0,0,115,36079.0,unknown,30,24,attack
37710,0,0.0,0,115,36079.0,unknown,30,24,attack
37712,0,0.0,0,114,36079.0,unknown,31,24,normal
37713,0,0.0,0,114,36079.0,unknown,31,24,normal
37715,0,0.0,0,119,36079.0,unknown,31,24,normal
37716,0,0.0,0,119,36079.0,unknown,31,24,normal
37718,0,0.0,0,115,36079.0,unknown,31,24,normal
37719,0,0.0,0,115,36079.0,unknown,31,24,normal
37721,0,0.0,0,113,36079.0,unknown,31,24,normal
37722,0,0.0,0,113,36079.0,unknown,31,24,normal
37724,0,0.0,0,116,36079.0,unknown,31,24,normal
37725,0,0.0,0,116,36079.0,unknown,31,24,normal
37727,0,0.0,0,118,36079.0,unknown,32,24,normal
37728,0,0.0,0,118,36079.0,unknown,32,24,normal
37730,0,0.0,0,120,36079.0,unknown,32,24,normal
37731,0,0.0,0,120,36079.0,unknown,32,24,normal
37733,0,0.0,0,113,36079.0,unknown,32,24,normal
37734,0,0.0,0,113,36079.0,unknown,32,24,normal
37736,0,0.0,0,117,36079.0,unknown,32,24,normal
37737,0,0.0,0,117,36079.0,unknown,32,24,normal
37739,0,0.0,0,111,36079.0,unknown,32,24,normal
37740,0,0.0,0,111,36079.0,unknown,32,24,normal
37742,0,0.0,0,117,36079.0,unknown,33,24,normal
37743,0,0.0,0,117,36079.0,unknown,33,24,normal
37745,0,0.0,0,117,36079.0,unknown,33,24,normal
37746,0,0.0,0,117,36079.0,unknown,33,24,normal
37748,0,0.0,0,112,36079.0,unknown,33,25,normal
37749,0,0.0,0,112,36079.0,unknown,33,25,normal
37751,0,0.0,0,114,36079.0,unknown,33,25,normal
37752,0,0.0,0,114,36079.0,unknown,33,25,normal
37754,0,0.0,0,113,36079.0,unknown,33,25,normal
37755,0,0.0,0,113,36079.0,unknown,33,25,normal
37757,0,0.0,0,111,36079.0,unknown,34,25,attack
37758,0,0.0,0,111,36079.0,unknown,34,25,attack
37760,0,0.0,0,117,36079.0,unknown,34,25,attack
37761,0,0.0,0,117,36079.0,unknown,34,25,attack
37763,0,0.0,0,115,36079.0,unknown,34,25,attack
37764,0,0.0,0,115,36079.0,unknown,34,25,attack
37766,0,0.0,0,116,36079.0,unknown,34,25,attack
37767,0,0.0,0,116,36079.0,unknown,34,25,attack
37769,0,0.0,0,116,36079.0,unknown,34,25,attack
37770,0,0.0,0,116,36079.0,unknown,34,25,attack
37772,0,0.0,0,111,36079.0,unknown,35,25,normal
37773,0,0.0,0,111,36079.0,unknown,35,25,normal
37775,0,0.0,0,117,36079.0,unknown,35,25,normal
37776,0,0.0,0,117,36079.0,unknown,35,25,normal
37778,0,0.0,0,117,36079.0,unknown,35,25,normal
37779,0,0.0,0,117,36079.0,unknown,35,25,normal
37781,0,0.0,0,112,36079.0,unknown,35,25,normal
37782,0,0.0,0,112,36079.0,unknown,35,25,normal
37784,0,0.0,0,113,36079.0,unknown,35,25,normal
