block_num,builder_id,total_gas_fee,total_mev_available,total_mev_captured_by_attackers,total_mev_captured_by_builders
517,builder_11,71150005,1460300,0,0
518,builder_11,103467999,8617200,0,0
519,builder_4,46906998,18428940,0,0
520,builder_16,717595995,1452780,0,0
521,builder_16,192920003,86430,0,0
522,builder_1,67306001,1146500,0,0
523,builder_4,86956000,1092400,0,0
524,builder_5,108672001,824380,0,0
525,builder_4,115600002,766000,0,0
526,builder_11,85726999,1687300,0,0
527,builder_10,122618999,584300,0,0
528,builder_5,91756996,1162240,0,0
529,builder_0,872222997,360980,0,0
530,builder_12,42850002,134090,0,0
531,builder_5,163294996,4621200,0,0
532,builder_1,100069992,14937700,0,0
533,builder_0,133568003,272230,0,0
534,builder_1,51392003,678580,0,0
535,builder_7,51522998,191800,0,0
536,builder_11,74471994,842400,0,0
537,builder_10,116712000,738500,0,0
538,builder_5,70973001,4362000,0,0
539,builder_4,150106005,4581100,0,0
540,builder_12,34195004,133300,0,0
541,builder_4,34884007,518040,0,0
542,builder_3,48099997,1672000,0,0
543,builder_4,72505006,825000,0,0
544,builder_1,128250005,7284800,0,0
545,builder_5,55307998,2056000,0,0
546,builder_1,1405417997,773340,0,0
547,builder_4,134720001,864500,0,0
548,builder_15,41866002,8316800,0,0
549,builder_1,227307000,2275300,0,0
550,builder_6,122547003,187500,0,0
551,builder_4,41720997,7687860,0,0
552,builder_0,86018995,202230,0,0
553,builder_11,71150005,1460300,0,0
554,builder_11,103467999,8617200,0,0
555,builder_4,46906998,18428940,0,0
556,builder_16,717595995,1452780,0,0
557,builder_16,192920003,86430,0,0
558,builder_1,67306001,1146500,0,0
559,builder_4,86956000,1092400,0,0
560,builder_5,108672001,824380,0,0
561,builder_4,115600002,766000,0,0
562,builder_11,85726999,1687300,0,0
563,builder_10,122618999,584300,0,0
564,builder_5,91756996,1162240,0,0
565,builder_0,872222997,360980,0,0
566,builder_12,42850002,134090,0,0
567,builder_5,163294996,4621200,0,0
