period,block_number,num_transactions,inversion_count,inversion_rate,max_possible_inversions
LUNA_CRASH_MAY_2022,14800953,23,0,0.0,253
LUNA_CRASH_MAY_2022,14800954,68,290,0.1273046532045654,2278
LUNA_CRASH_MAY_2022,14800955,384,3011,0.04094593124456049,73536
LUNA_CRASH_MAY_2022,14800956,218,769,0.03251173212700292,23653
LUNA_CRASH_MAY_2022,14800957,270,969,0.02668318876497315,36315
LUNA_CRASH_MAY_2022,14800958,101,589,0.11663366336633664,5050
LUNA_CRASH_MAY_2022,14800959,253,521,0.016343559821820692,31878
LUNA_CRASH_MAY_2022,14800960,23,76,0.30039525691699603,253
LUNA_CRASH_MAY_2022,14800961,163,276,0.02090433992274483,13203
LUNA_CRASH_MAY_2022,14800962,58,29,0.017543859649122806,1653
LUNA_CRASH_MAY_2022,14800963,129,35,0.0042393410852713176,8256
LUNA_CRASH_MAY_2022,14800964,31,0,0.0,465
LUNA_CRASH_MAY_2022,14800965,327,3085,0.05787883904617174,53301
LUNA_CRASH_MAY_2022,14800966,81,0,0.0,3240
LUNA_CRASH_MAY_2022,14800967,341,755,0.013023977919613593,57970
LUNA_CRASH_MAY_2022,14800968,122,531,0.07194147134534616,7381
LUNA_CRASH_MAY_2022,14800969,114,234,0.036329762459245456,6441
LUNA_CRASH_MAY_2022,14800970,163,454,0.03438612436567447,13203
LUNA_CRASH_MAY_2022,14800971,61,0,0.0,1830
LUNA_CRASH_MAY_2022,14800972,189,606,0.034110097939885176,17766
LUNA_CRASH_MAY_2022,14800973,496,3049,0.024837080482241772,122760
LUNA_CRASH_MAY_2022,14800974,281,1025,0.026054905948144382,39340
LUNA_CRASH_MAY_2022,14800975,200,0,0.0,19900
LUNA_CRASH_MAY_2022,14800976,186,515,0.02993315896541703,17205
LUNA_CRASH_MAY_2022,14800977,10,9,0.2,45
LUNA_CRASH_MAY_2022,14800978,185,838,0.049236192714453585,17020
LUNA_CRASH_MAY_2022,14800979,40,0,0.0,780
LUNA_CRASH_MAY_2022,14800980,225,376,0.014920634920634921,25200
LUNA_CRASH_MAY_2022,14800981,297,534,0.012148512148512149,43956
LUNA_CRASH_MAY_2022,14800982,222,1428,0.058212058212058215,24531
LUNA_CRASH_MAY_2022,14800983,0,0,0.0,0
LUNA_CRASH_MAY_2022,14800984,100,31,0.006262626262626263,4950
LUNA_CRASH_MAY_2022,14800985,349,799,0.01315746138392122,60726
LUNA_CRASH_MAY_2022,14800986,130,2858,0.34084675014907573,8385
LUNA_CRASH_MAY_2022,14800987,303,615,0.013441741525145892,45753
LUNA_CRASH_MAY_2022,14800988,78,0,0.0,3003
LUNA_CRASH_MAY_2022,14800989,0,0,0.0,0
LUNA_CRASH_MAY_2022,14800990,40,0,0.0,780
LUNA_CRASH_MAY_2022,14800991,272,3097,0.08402973735619709,36856
LUNA_CRASH_MAY_2022,14800992,178,0,0.0,15753
LUNA_CRASH_MAY_2022,14800993,151,523,0.04618101545253863,11325
LUNA_CRASH_MAY_2022,14800994,140,0,0.0,9730
LUNA_CRASH_MAY_2022,14800995,106,419,0.07529200359389039,5565
LUNA_CRASH_MAY_2022,14800996,197,304,0.01574640008287579,19306
LUNA_CRASH_MAY_2022,14800997,0,0,0.0,0
LUNA_CRASH_MAY_2022,14800998,134,62,0.006957692739310964,8911
