period,gas_fee_gwei
STABLE_PRE_MERGE_2022,825851.0
STABLE_PRE_MERGE_2022,825851.0
STABLE_PRE_MERGE_2022,805417.0
STABLE_PRE_MERGE_2022,774899.0
STABLE_PRE_MERGE_2022,768236.0
STABLE_PRE_MERGE_2022,759532.0
STABLE_PRE_MERGE_2022,596062.0
STABLE_PRE_MERGE_2022,586515.0
STABLE_PRE_MERGE_2022,568113.0
STABLE_PRE_MERGE_2022,527044.0
STABLE_PRE_MERGE_2022,494462.0
STABLE_PRE_MERGE_2022,482531.0
STABLE_PRE_MERGE_2022,425632.0
STABLE_PRE_MERGE_2022,420878.0
STABLE_PRE_MERGE_2022,414489.0
STABLE_PRE_MERGE_2022,414180.0
STABLE_PRE_MERGE_2022,413070.0
STABLE_PRE_MERGE_2022,390999.0
STABLE_PRE_MERGE_2022,386400.0
STABLE_PRE_MERGE_2022,377195.0
STABLE_PRE_MERGE_2022,355557.0
STABLE_PRE_MERGE_2022,10135298.0
STABLE_PRE_MERGE_2022,9393979.0
STABLE_PRE_MERGE_2022,8826750.0
STABLE_PRE_MERGE_2022,8712947.0
STABLE_PRE_MERGE_2022,7947504.0
STABLE_PRE_MERGE_2022,6473478.0
STABLE_PRE_MERGE_2022,5005568.0
STABLE_PRE_MERGE_2022,4992676.0
STABLE_PRE_MERGE_2022,4970057.0
STABLE_PRE_MERGE_2022,4823124.0
STABLE_PRE_MERGE_2022,4384275.0
STABLE_PRE_MERGE_2022,4321474.0
STABLE_PRE_MERGE_2022,4284247.0
