period,block_number,gas_fee_gwei
STABLE_PRE_MERGE_2022,15000001,10208908.510182215
STABLE_PRE_MERGE_2022,15000001,1106178.410605255
STABLE_PRE_MERGE_2022,15000001,859549.71378747
STABLE_PRE_MERGE_2022,15000001,5227768.6035
STABLE_PRE_MERGE_2022,15000001,1348990.836342485
STABLE_PRE_MERGE_2022,15000001,4995777.658772015
STABLE_PRE_MERGE_2022,15000001,3623871.770050855
STABLE_PRE_MERGE_2022,15000001,5047358.308993215
STABLE_PRE_MERGE_2022,15000001,812395.2409839
STABLE_PRE_MERGE_2022,15000001,2241301.233378555
STABLE_PRE_MERGE_2022,15000001,7633587.7148307
STABLE_PRE_MERGE_2022,15000001,1721434.49755117
STABLE_PRE_MERGE_2022,15000001,5847729.682189065
STABLE_PRE_MERGE_2022,15000001,2375672.31238385
STABLE_PRE_MERGE_2022,15000001,4835110.903691115
STABLE_PRE_MERGE_2022,15000001,1729729.22373539
STABLE_PRE_MERGE_2022,15000001,3480996.8541172
STABLE_PRE_MERGE_2022,15000001,9272318.9130745
STABLE_PRE_MERGE_2022,15000001,600391.79821663
STABLE_PRE_MERGE_2022,15000001,899437.588232175
STABLE_PRE_MERGE_2022,15000001,8712947.6725
STABLE_PRE_MERGE_2022,15000001,806243.899927115
STABLE_PRE_MERGE_2022,15000001,4022297.441218935
STABLE_PRE_MERGE_2022,15000001,8712947.6725
STABLE_PRE_MERGE_2022,15000001,5272675.135804065
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,4581476.99694464
STABLE_PRE_MERGE_2022,15000001,2764426.611635455
STABLE_PRE_MERGE_2022,15000001,4731670.788923195
STABLE_PRE_MERGE_2022,15000001,8438646.653874354
STABLE_PRE_MERGE_2022,15000001,3057355.912384905
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,3473887.08881644
STABLE_PRE_MERGE_2022,15000001,806243.899927115
STABLE_PRE_MERGE_2022,15000001,802497.33242794
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,2908068.26696429
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,3336710.4406606
STABLE_PRE_MERGE_2022,15000001,2301437.99821415
STABLE_PRE_MERGE_2022,15000001,3429294.222628585
STABLE_PRE_MERGE_2022,15000001,4700704.97289513
STABLE_PRE_MERGE_2022,15000001,5611748.207427075
STABLE_PRE_MERGE_2022,15000001,1885987.227294005
STABLE_PRE_MERGE_2022,15000001,2908312.22949912
STABLE_PRE_MERGE_2022,15000001,14899140.519975
STABLE_PRE_MERGE_2022,15000001,4809581.96701069
STABLE_PRE_MERGE_2022,15000001,846009.793104405
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,3485179.069
STABLE_PRE_MERGE_2022,15000001,2960223.971731875
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,3350825.41589005
STABLE_PRE_MERGE_2022,15000001,76908387.51397163
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,12024704.23102656
STABLE_PRE_MERGE_2022,15000001,806243.899927115
STABLE_PRE_MERGE_2022,15000001,7988936.57270594
STABLE_PRE_MERGE_2022,15000001,5516916.484959585
STABLE_PRE_MERGE_2022,15000001,806470.4365666
STABLE_PRE_MERGE_2022,15000001,1604105.944193285
STABLE_PRE_MERGE_2022,15000001,5591185.650919975
STABLE_PRE_MERGE_2022,15000001,811889.890018895
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,3233740.825066995
STABLE_PRE_MERGE_2022,15000001,2225600.50167271
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,2956407.70065132
STABLE_PRE_MERGE_2022,15000001,3538084.08726742
STABLE_PRE_MERGE_2022,15000001,3410857.625353575
STABLE_PRE_MERGE_2022,15000001,1505876.17213352
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,365943.802245
STABLE_PRE_MERGE_2022,15000001,1209519.207442505
STABLE_PRE_MERGE_2022,15000001,881795.226003055
STABLE_PRE_MERGE_2022,15000001,5414393.91670637
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,3005395.82924889
