period,block_number,mean_gas_fee_gwei,median_gas_fee_gwei,total_gas_fees_gwei,num_transactions
STABLE_POST_MERGE_2022,16000905,3414373.7148932577,1516833.685848945,481426693.79994935,141
STABLE_POST_MERGE_2022,16000906,1770265.030961516,902067.397826933,228364188.99403557,129
STABLE_POST_MERGE_2022,16000907,4941281.928048019,644786.48974833,538599730.1572341,109
STABLE_POST_MERGE_2022,16000908,2745992.048423893,1089773.767675192,269107220.7455415,98
STABLE_POST_MERGE_2022,16000909,7638281.925327345,862787.320316412,450658633.5943133,59
STABLE_POST_MERGE_2022,16000910,2518664.8413133803,1036040.166128365,410542369.134081,163
STABLE_POST_MERGE_2022,16000911,2029579.7555739451,1075019.1508727549,117715625.82328881,58
STABLE_POST_MERGE_2022,16000912,3371834.243885302,1125000.0,468684959.90005696,139
STABLE_POST_MERGE_2022,16000913,4043233.043726348,845245.0872,400280071.32890844,99
STABLE_POST_MERGE_2022,16000914,2056271.4817046144,854833.955419651,238527491.87773526,116
STABLE_POST_MERGE_2022,16000915,1815848.1337067187,729281.330389498,188848205.90549874,104
STABLE_POST_MERGE_2022,16000916,3845291.3892332357,1177075.966402987,469125549.4864548,122
STABLE_POST_MERGE_2022,16000917,7328426.315352054,2038988.740373156,747499484.1659095,102
STABLE_POST_MERGE_2022,16000918,4188981.821266558,1832908.0,473354945.80312103,113
STABLE_POST_MERGE_2022,16000919,6356250.490673275,2134115.5656437203,648337550.048674,102
STABLE_POST_MERGE_2022,16000920,5382371.615690603,1333110.535185726,753532026.1966844,140
STABLE_POST_MERGE_2022,16000921,2641682.415684062,1109094.0,55475330.729365304,21
STABLE_POST_MERGE_2022,16000922,10106024.88033775,1194395.485124448,2496188145.443424,247
STABLE_POST_MERGE_2022,16000923,5747956.165086305,1267761.8975,643771090.4896661,112
STABLE_POST_MERGE_2022,16000924,3619141.615629456,1814136.5992967444,419820427.4130169,116
STABLE_POST_MERGE_2022,16000925,3796309.2883981913,1271224.282185,364445691.68622637,96
STABLE_POST_MERGE_2022,16000926,2186254.504247164,1265037.61644,225184213.93745786,103
STABLE_POST_MERGE_2022,16000927,6038774.367742335,918066.385208898,634071308.6129452,105
STABLE_POST_MERGE_2022,16000928,2799152.8385833628,1162221.684349815,330300034.9528368,118
STABLE_POST_MERGE_2022,16000929,3086099.6524359267,1666787.200274574,354901460.0301316,115
STABLE_POST_MERGE_2022,16000930,4961898.778954797,913667.309511876,520999371.79025376,105
STABLE_POST_MERGE_2022,16000931,2582091.9268998676,1371134.4675,291776387.73968506,113
STABLE_POST_MERGE_2022,16000932,3127655.7413239735,1413592.3531065574,350297443.028285,112
STABLE_POST_MERGE_2022,16000933,2020354.5113904434,1243204.82158988,228300059.7871201,113
STABLE_POST_MERGE_2022,16000934,2127311.1744394414,1190543.9230232942,170184893.9551553,80
STABLE_POST_MERGE_2022,16000935,2912239.3432192495,1148972.6113288798,460133816.2286414,158
STABLE_POST_MERGE_2022,16000936,4524468.423256404,1091911.949923751,429824500.2093584,95
STABLE_POST_MERGE_2022,16000937,4320528.486186049,1035250.928704096,669681915.3588376,155
STABLE_POST_MERGE_2022,16000938,1657509.4459241896,1235043.016819084,316584304.17152023,191
STABLE_POST_MERGE_2022,16000939,4043788.1110513373,1156736.59506,1055428696.9843991,261
STABLE_POST_MERGE_2022,16000940,6008456.487486946,1150427.284296499,486684975.4864426,81
STABLE_POST_MERGE_2022,16000941,3293057.929581361,1567516.34955051,306254387.45106655,93
STABLE_POST_MERGE_2022,16000942,2932227.3964510486,1325895.1772,307883876.6273601,105
