block_num,validator_id,validator_stake,total_gas_fee,total_mev_available,block_reward,validator_reinvestment_factor,validator_validator_count
364,validator_17,32000000000,11080000,421500,11501500,False,1
365,validator_4,64000000000,8607000,0,8607000,False,2
366,validator_4,64000000000,45674000,66330,45740330,False,2
367,validator_1,64000000000,44920000,0,44920000,True,2
368,validator_7,480000000000,94642000,18668160,113310160,True,15
369,validator_12,480000000000,102969000,16167750,119136750,True,15
370,validator_6,160000000000,1078000,47700,1125700,True,5
371,validator_3,160000000000,83000,0,83000,True,5
372,validator_12,480000000000,12960000,67500,13027500,True,15
373,validator_8,320000000000,11200000,0,11200000,False,10
374,validator_1,64000000000,74341000,215000,74556000,True,2
375,validator_4,64000000000,1900000,0,1900000,False,2
376,validator_10,320000000000,32209000,232900,32441900,True,10
377,validator_10,320000000000,460000,0,460000,True,10
378,validator_11,320000000000,8413000,0,8413000,True,10
379,validator_10,320000000000,17060000,128000,17188000,True,10
380,validator_4,64000000000,38440000,1072900,39512900,False,2
381,validator_0,160000000000,7112000,312200,7424200,True,5
382,validator_10,320000000000,7380000,100000,7480000,True,10
383,validator_11,320000000000,2590000,31700,2621700,True,10
384,validator_16,32000000000,5550000,19700,5569700,True,1
385,validator_14,480000000000,39714000,143600,39857600,True,15
386,validator_12,480000000000,79787000,17787880,97574880,True,15
387,validator_2,160000000000,26335000,412600,26747600,True,5
388,validator_13,32000000000,54523000,4348100,58871100,False,1
389,validator_17,32000000000,530000,73100,603100,False,1
390,validator_1,64000000000,6597000,17000,6614000,True,2
391,validator_18,32000000000,6834000,261000,7095000,True,1
392,validator_13,32000000000,13778000,325600,14103600,False,1
393,validator_17,32000000000,5040000,0,5040000,False,1
394,validator_8,320000000000,13580000,769000,14349000,False,10
395,validator_3,160000000000,5087000,7473000,12560000,True,5
396,validator_12,480000000000,28690000,578400,29268400,True,15
397,validator_6,160000000000,1400000,0,1400000,True,5
398,validator_5,32000000000,13365000,15300,13380300,False,1
399,validator_8,320000000000,17200000,421200,17621200,False,10
400,validator_8,320000000000,920000,0,920000,False,10
401,validator_12,480000000000,10430000,86700,10516700,True,15
402,validator_10,320000000000,6150000,47700,6197700,True,10
403,validator_14,480000000000,27370000,0,27370000,True,15
